,ID,GROUP,CONDITION,Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q2H,Q2I,Q3A,Q3B,Q3C,Q3D,Q3E,Q3F,Q3G,Q3H,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q4I,Q4J,Q5A,Q5B,Q5C,Q5D,Q5E,Q5F,Q5G,Q5H,Q5I,Q5J,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q6I,Q6J,T2Q1,T2Q2A,T2Q2B,T2Q2C,T2Q2D,T2Q2E,T2Q2F,T2Q2G,T2Q2H,T2Q2I,T2Q3A,T2Q3B,T2Q3C,T2Q3D,T2Q3E,T2Q3F,T2Q3G,T2Q3H,T2Q4A,T2Q4B,T2Q4C,T2Q4D,T2Q4E,T2Q4F,T2Q4G,T2Q4H,T2Q4I,T2Q4J,T2Q5A,T2Q5B,T2Q5C,T2Q5D,T2Q5E,T2Q5F,T2Q5G,T2Q5H,T2Q5I,T2Q5J,T2Q6A,T2Q6B,T2Q6C,T2Q6D,T2Q6E,T2Q6F,T2Q6G,T2Q6H,T2Q6I,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE
102,102,40,1,4,8,10,8,8,8,10,8,8,8,10,10,10,8,0,0,0,8,7,8,0,10,9,0,7,5,3,0,2,0,10,10,10,7,10,5,10,10,8,3,10,10,5,8,10,5,3,8,7,2,10,7,9,8,8,1,10,5,9,9,9,9,5,1,1,10,4,10,1,7,10,4,3,3,1,1,2,1,7,8,10,9,10,7,10,8,8,2,10,10,6,9,10,3,4,"White, non-Hispanic",60+,BA or above,Democrat,Female,71
103,103,29,1,2,2,9,4,9,5,10,10,10,4,10,8,8,5,5,0,0,6,7,10,1,10,10,0,10,10,10,5,0,0,10,10,10,10,10,5,10,5,77,77,10,10,3,9,10,8,0,7,5,2,5,6,5,8,77,9,8,3,8,5,6,7,0,0,0,5,5,9,0,10,7,0,5,7,0,0,1,5,8,8,10,6,8,3,8,5,7,0,1,7,5,7,10,5,0,"White, non-Hispanic",18-29,Some college,Democrat,Female,25
104,104,11,1,4,2,8,8,5,8,5,5,10,2,10,9,7,8,3,0,0,4,5,7,4,7,6,2,8,5,77,77,0,0,6,6,10,9,10,5,9,7,6,3,8,10,6,9,10,7,77,8,7,1,10,8,6,9,5,6,10,1,10,10,10,8,1,0,1,8,7,7,2,9,10,1,9,9,2,6,5,1,6,6,10,8,8,5,10,9,10,1,7,10,8,10,9,9,5,"White, non-Hispanic",60+,BA or above,Democrat,Female,72
105,105,29,1,2,8,5,3,4,4,10,2,7,7,10,9,8,9,7,3,5,7,10,10,6,10,10,3,7,5,4,2,3,3,5,7,8,9,7,7,7,5,9,6,10,9,6,8,10,10,10,10,9,2,9,7,7,8,10,9,7,5,10,9,8,9,7,2,4,7,10,10,5,10,9,1,6,2,0,0,8,5,7,9,10,3,3,2,10,10,10,4,10,10,10,9,10,9,8,"White, non-Hispanic",60+,Some college,Independent,Male,64
106,106,29,1,6,77,7,6,7,7,77,7,8,77,77,77,5,7,4,3,77,77,77,7,10,8,8,77,9,7,7,77,3,77,4,6,10,7,8,9,77,4,6,5,7,5,6,77,8,10,7,5,7,6,8,7,8,8,8,8,9,6,5,9,7,9,3,0,4,7,6,6,77,7,9,2,8,7,8,6,4,8,8,9,10,8,8,9,7,7,7,5,5,7,8,7,8,8,4,Hispanic,18-29,BA or above,Independent,Female,27
107,107,30,1,6,3,7,6,6,7,77,10,10,1,10,10,10,10,1,0,0,10,0,6,77,10,5,5,5,8,5,3,1,0,5,5,10,6,8,9,9,9,7,5,7,8,77,7,6,9,5,8,8,2,10,5,8,8,8,10,10,3,10,10,8,8,3,2,0,3,0,1,1,7,5,0,2,5,0,0,0,0,0,1,10,5,1,5,10,10,9,7,7,9,7,10,5,5,0,"White, non-Hispanic",60+,Some college,Democrat,Female,66
108,108,2,1,3,5,5,5,7,5,5,77,10,5,10,98,10,5,5,5,5,5,0,5,0,7,77,5,0,5,0,0,5,5,7,10,10,10,10,5,5,10,5,0,7,7,5,5,5,8,3,7,5,0,10,7,7,7,0,10,10,2,10,10,8,10,3,0,2,4,5,10,10,8,10,0,5,8,5,1,0,2,10,10,10,5,5,8,8,10,8,77,8,10,77,10,8,8,3,"White, non-Hispanic",30-44,BA or above,Democrat,Female,32
109,109,7,1,2,1,9,5,5,7,5,9,10,1,8,8,8,5,1,0,77,5,5,5,77,8,5,3,8,5,8,77,0,2,5,5,9,5,5,4,5,7,77,77,8,9,3,77,9,9,5,3,3,0,10,8,8,8,9,9,10,2,3,7,6,3,1,0,0,7,8,1,4,8,5,0,0,8,0,0,3,5,6,9,10,8,8,3,10,10,7,2,10,10,4,9,10,8,77,"White, non-Hispanic",45-59,Some college,Independent,Female,46
110,110,15,1,3,5,7,4,7,7,10,5,7,5,77,10,10,7,5,2,0,7,2,6,5,7,10,5,4,5,7,7,6,7,7,9,7,5,5,6,5,6,77,77,77,5,6,4,5,6,5,7,7,2,10,7,7,7,8,5,7,3,6,8,8,1,2,1,2,3,5,7,3,8,7,2,0,2,5,0,4,77,6,6,8,5,5,3,9,8,8,5,6,8,8,5,6,8,4,"White, non-Hispanic",18-29,BA or above,Independent,Male,23
111,111,8,1,6,7,5,5,5,5,7,7,5,7,5,5,5,5,7,6,5,5,7,5,5,5,8,4,10,7,5,2,5,5,5,7,8,5,8,8,8,8,5,6,7,5,8,7,7,5,7,5,7,3,10,5,10,10,8,5,10,0,10,9,7,9,9,3,3,5,7,7,9,7,9,4,7,3,0,0,0,0,3,6,10,5,8,2,7,9,10,8,8,8,5,9,9,7,7,"White, non-Hispanic",45-59,HS graduate or equivalent,Democrat,Female,57
112,112,31,1,5,3,10,10,5,5,10,8,5,7,10,10,10,10,10,5,5,7,10,10,0,10,10,0,10,7,10,10,0,0,10,10,10,10,10,10,10,10,10,5,10,10,7,5,10,10,5,10,6,0,10,2,10,10,5,1,10,10,8,10,5,10,10,0,5,10,7,10,77,10,10,0,10,10,8,10,0,5,10,10,10,10,10,10,10,10,10,10,10,6,10,8,10,0,10,"Black, non-Hispanic",45-59,BA or above,Democrat,Female,52
113,113,10,1,5,2,10,10,10,9,5,8,10,1,8,9,9,8,4,0,0,8,4,7,1,10,8,0,7,7,8,1,1,2,7,7,9,8,8,8,8,7,8,3,9,6,98,8,9,9,7,8,8,0,10,8,9,10,4,10,10,0,10,8,7,5,4,0,7,3,9,9,0,9,8,1,5,7,6,4,1,6,7,7,10,8,8,1,10,8,9,4,7,7,6,10,9,7,5,"White, non-Hispanic",30-44,BA or above,Democrat,Female,36
114,114,5,1,6,5,10,8,10,9,10,10,10,0,10,10,10,10,3,0,5,5,7,5,0,10,10,0,10,5,8,0,0,5,10,10,10,10,10,10,10,5,10,5,10,10,10,10,10,10,10,10,8,0,10,5,9,9,5,10,10,5,10,10,98,10,5,0,0,0,10,0,0,5,10,0,10,10,8,5,3,1,9,9,10,10,10,10,10,10,10,0,10,10,10,10,10,10,8,Hispanic,45-59,Some college,Democrat,Female,48
115,115,39,1,98,0,10,0,0,10,5,10,0,10,77,10,5,5,5,5,5,10,0,10,5,10,10,10,10,10,10,5,77,5,0,5,10,5,5,5,5,5,0,10,10,10,5,10,10,5,10,0,4,10,5,2,5,5,10,10,2,8,5,3,6,2,5,1,5,10,5,8,9,7,8,77,5,10,7,2,10,5,5,5,5,10,10,10,10,1,5,10,10,2,5,10,1,5,5,Hispanic,45-59,No HS diploma,Republican,Female,56
116,116,16,1,5,10,5,1,1,1,5,10,10,5,10,10,10,1,5,0,0,5,10,10,0,10,5,5,5,0,0,0,5,5,5,5,10,5,5,5,10,10,5,5,5,7,2,5,10,5,5,5,5,5,10,10,5,5,10,10,10,0,10,10,10,5,0,0,0,10,0,7,0,10,10,10,10,0,0,0,0,0,7,7,10,0,0,5,10,10,10,5,5,10,5,10,10,5,0,"White, non-Hispanic",60+,BA or above,Independent,Female,76
117,117,18,1,9,5,8,6,6,6,10,10,5,5,8,8,5,7,5,4,3,4,8,10,0,5,77,6,77,5,77,0,5,77,77,77,10,10,10,0,10,5,77,0,10,10,8,10,5,8,77,7,6,0,10,5,10,10,10,5,10,1,8,10,8,5,8,0,5,8,2,9,2,7,8,9,5,5,5,1,2,0,8,10,10,10,10,1,10,5,10,1,9,9,8,10,7,8,5,"White, non-Hispanic",45-59,BA or above,Independent,Female,47
118,118,3,1,7,5,8,8,8,8,8,8,8,7,9,9,9,9,7,7,8,8,5,8,5,8,10,8,10,9,9,9,5,5,10,9,10,9,9,9,7,7,5,5,8,7,8,7,9,8,5,8,8,5,8,7,8,7,8,7,8,2,6,6,5,5,6,5,6,5,5,8,5,8,9,5,8,2,1,0,2,4,8,7,9,7,7,6,5,7,5,2,2,3,6,5,8,9,4,"Black, non-Hispanic",45-59,HS graduate or equivalent,Democrat,Female,56
119,119,9,1,3,0,10,8,8,9,5,0,10,1,9,9,10,10,2,0,1,9,5,7,0,5,9,2,9,5,8,1,0,0,9,9,10,10,10,2,10,10,8,5,10,8,5,2,9,9,7,7,5,1,10,5,9,9,1,0,10,0,10,10,10,6,2,0,0,5,5,6,5,6,10,1,5,1,1,0,0,0,8,10,10,4,4,0,10,10,10,1,8,9,4,5,10,7,1,"White, non-Hispanic",60+,BA or above,Independent,Female,74
120,120,19,1,4,6,8,77,7,7,7,10,6,77,6,77,5,5,3,0,0,6,0,3,5,6,7,0,10,7,7,5,7,7,5,5,10,3,3,5,6,4,77,3,77,7,5,6,7,6,5,5,8,6,9,8,8,10,7,5,9,3,10,7,8,6,4,0,4,6,4,1,6,5,4,0,6,10,0,0,1,4,3,6,10,5,6,2,10,10,10,3,7,8,5,7,6,5,5,"White, non-Hispanic",60+,BA or above,Independent,Female,64
121,121,2,1,5,10,10,1,7,5,10,10,0,10,3,5,5,6,9,5,7,5,1,2,0,7,9,2,1,5,10,0,5,1,8,8,10,10,10,10,10,10,6,2,5,10,9,5,3,5,10,5,7,10,5,4,4,4,9,9,6,9,1,1,4,4,6,1,6,9,5,7,10,1,10,1,2,2,0,0,7,5,6,6,6,6,2,2,9,9,5,9,9,5,5,5,1,9,9,"White, non-Hispanic",60+,Some college,Independent,Female,66
122,122,22,1,8,5,3,0,10,5,10,10,2,8,4,2,5,0,8,5,5,2,10,0,0,5,9,6,0,0,0,0,8,10,5,5,8,10,10,5,6,5,77,5,7,4,4,0,2,8,7,3,4,0,9,1,7,3,8,9,9,1,7,1,3,0,9,6,8,0,10,3,0,5,10,5,1,0,1,0,2,8,3,7,10,10,5,2,10,2,8,2,5,5,8,6,1,9,9,"White, non-Hispanic",30-44,BA or above,Republican,Male,36
123,123,19,1,3,0,10,5,10,10,2,77,10,1,8,8,8,6,1,0,0,3,10,0,77,0,5,5,0,0,0,0,5,77,7,7,10,77,77,77,77,8,7,0,77,77,77,77,7,5,3,5,4,1,7,4,10,10,5,5,10,3,6,8,7,5,0,0,2,3,5,1,2,2,5,1,1,3,0,0,2,4,5,5,10,6,7,1,10,6,8,0,5,6,3,7,5,7,4,"White, non-Hispanic",18-29,BA or above,Independent,Female,23
124,124,12,1,0,10,10,5,1,0,10,10,10,10,5,10,6,0,10,0,5,5,5,5,10,10,10,0,5,10,5,0,5,5,10,5,10,10,10,5,5,10,5,5,7,10,10,0,10,5,10,10,2,5,10,5,8,5,10,10,10,8,5,5,5,0,7,7,5,10,10,5,10,0,10,5,5,0,0,0,5,5,8,5,10,10,10,5,10,10,5,5,8,8,10,5,10,9,10,Hispanic,45-59,HS graduate or equivalent,Democrat,Male,51
125,125,18,1,7,5,10,8,10,10,10,77,10,2,10,5,10,5,6,2,77,2,0,0,3,7,10,5,3,3,77,5,0,0,2,2,10,5,7,77,10,2,10,6,10,10,10,10,7,7,7,10,8,3,8,7,10,10,6,8,10,5,9,7,10,4,6,3,7,0,1,1,7,7,9,5,4,3,1,0,2,5,7,7,10,4,77,2,6,6,10,3,9,10,10,8,9,7,8,"White, non-Hispanic",30-44,BA or above,Republican,Male,36
126,126,39,1,5,77,8,5,7,8,77,77,8,77,77,77,5,8,6,2,77,8,77,77,77,5,8,77,10,8,9,10,77,77,77,7,8,8,7,8,7,8,77,77,77,77,77,77,7,77,77,77,5,2,8,5,8,8,77,2,10,0,5,77,6,5,77,2,77,2,3,7,3,7,8,6,6,3,77,77,6,6,6,8,9,7,8,5,8,9,77,2,6,77,7,77,8,8,77,"Asian, non-Hispanic",30-44,No HS diploma,Independent,Female,31
127,127,1,1,5,8,7,5,5,5,8,6,7,7,0,0,0,0,6,5,5,0,6,0,4,5,3,6,1,0,0,0,7,3,5,4,5,1,2,0,4,5,77,5,5,7,4,3,6,6,3,5,7,5,7,5,6,4,5,7,6,2,3,1,1,1,7,7,7,1,5,1,5,5,5,5,1,1,1,1,7,3,3,3,7,3,3,1,5,5,6,5,3,5,6,3,7,5,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62
128,128,19,1,6,10,10,6,4,2,10,10,4,7,0,0,0,0,10,10,8,0,2,0,5,4,0,10,3,5,0,0,10,5,5,5,7,0,0,0,7,6,2,8,8,10,10,0,0,10,10,7,8,3,10,8,9,9,10,6,7,5,1,7,4,1,10,10,7,3,3,3,6,7,1,3,5,6,0,0,7,7,2,6,6,6,7,3,10,10,6,7,8,10,10,5,1,9,10,"White, non-Hispanic",60+,BA or above,Republican,Male,69
129,129,9,1,5,5,8,7,8,8,6,4,9,4,6,6,5,6,6,5,4,5,2,4,5,6,6,4,6,5,5,5,1,5,6,8,9,10,7,9,10,9,5,4,6,6,6,6,9,9,6,6,3,1,10,10,10,10,5,9,10,1,10,10,10,10,4,0,5,5,5,8,8,9,8,3,5,5,4,5,0,0,10,10,10,10,10,10,10,10,10,5,10,10,9,8,10,10,8,"White, non-Hispanic",60+,Some college,Democrat,Female,68
130,130,8,1,7,4,4,5,8,6,10,10,6,7,5,5,7,0,5,3,3,2,0,8,0,3,5,4,2,2,5,0,7,8,5,5,10,10,10,2,10,5,7,6,7,8,8,2,5,5,7,5,7,2,6,4,7,7,7,7,9,4,5,5,6,2,5,2,5,3,5,4,2,5,8,2,5,2,2,2,7,5,5,5,10,4,7,1,7,2,6,5,5,9,6,4,5,6,5,"White, non-Hispanic",60+,BA or above,Republican,Male,73
131,131,37,1,9,4,8,8,6,7,77,5,10,77,77,77,77,7,6,4,5,6,77,0,10,0,7,77,10,8,77,77,5,77,6,6,10,10,10,77,10,7,5,5,77,77,9,77,7,10,9,7,8,2,7,1,2,2,10,4,10,10,77,77,2,77,7,0,4,7,0,0,0,0,7,0,4,7,0,0,77,77,98,4,10,10,10,7,10,10,77,3,77,77,77,77,4,10,7,"Black, non-Hispanic",30-44,Some college,Republican,Female,32
132,132,23,1,10,7,10,8,3,2,5,8,5,9,6,7,5,9,8,8,8,7,5,8,2,8,2,5,8,6,7,8,8,8,5,7,5,9,3,8,3,8,7,5,8,8,9,10,4,3,5,7,98,0,10,8,10,10,10,0,10,0,8,7,9,8,10,5,2,7,4,8,8,10,10,5,10,9,5,3,5,7,9,8,9,8,10,10,5,10,10,4,4,8,3,10,10,7,4,"Black, non-Hispanic",18-29,No HS diploma,Democrat,Male,25
133,133,38,1,4,8,10,7,3,7,10,0,3,10,1,1,7,0,9,7,9,0,0,0,10,0,7,4,0,0,0,0,8,9,2,3,10,0,1,0,10,9,2,8,10,5,4,0,8,4,8,6,3,7,8,5,6,2,10,0,1,10,3,1,6,0,9,7,9,2,1,0,8,1,4,6,0,0,0,0,9,10,0,1,9,0,4,0,7,6,0,5,7,6,4,0,4,3,8,"2+, non-Hispanic",18-29,BA or above,Republican,Male,23
134,134,4,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,5,5,5,10,5,5,5,5,5,77,77,77,77,77,77,77,77,77,77,77,4,2,9,8,7,7,0,10,10,5,5,7,7,7,5,2,5,3,5,5,0,5,10,4,10,10,5,10,6,8,10,10,10,10,10,5,5,6,7,0,5,5,8,8,10,10,8,"2+, non-Hispanic",30-44,HS graduate or equivalent,Independent,Female,35
135,135,29,1,2,1,10,5,8,9,5,5,10,3,10,10,10,98,5,0,0,9,5,7,5,5,8,98,10,8,7,2,0,5,10,10,10,10,10,10,10,10,7,1,8,8,0,10,10,9,1,6,5,1,10,77,10,10,4,10,10,2,10,10,10,77,0,0,0,7,77,7,77,5,10,0,5,5,0,0,4,3,5,5,9,8,7,4,10,10,8,0,5,8,77,9,10,77,1,"White, non-Hispanic",60+,BA or above,Democrat,Female,76
136,136,14,1,8,9,7,6,1,4,10,2,2,4,2,6,6,7,7,7,5,2,2,7,6,8,7,4,3,6,1,2,8,7,6,6,8,3,7,3,7,7,5,4,5,6,6,3,6,7,8,4,7,5,10,10,7,7,9,9,8,2,7,7,8,8,10,5,7,2,8,9,6,10,10,1,0,7,0,0,4,8,9,9,10,4,8,4,10,10,8,3,9,9,9,8,10,7,10,"White, non-Hispanic",45-59,BA or above,Republican,Male,47
137,137,12,1,5,8,5,10,5,3,77,5,0,5,77,77,0,77,5,5,77,10,77,5,77,5,10,10,10,10,10,10,5,3,10,10,10,5,5,7,5,8,5,5,77,77,5,77,5,5,5,5,8,10,10,5,8,5,10,77,5,10,5,5,5,5,7,5,77,77,5,10,77,10,10,77,8,10,10,5,5,2,5,5,10,77,5,77,8,10,77,77,8,77,5,5,77,5,5,"Black, non-Hispanic",45-59,HS graduate or equivalent,Democrat,Female,50
138,138,31,1,7,10,10,8,7,7,8,10,10,1,5,4,6,1,9,7,4,1,9,5,5,6,5,9,4,0,0,0,10,10,5,4,10,5,4,4,10,5,4,10,9,4,4,1,1,10,10,10,5,4,9,5,8,8,9,9,10,5,7,7,4,5,4,2,4,4,8,8,2,10,6,1,10,0,0,0,4,5,5,5,8,8,8,2,10,6,8,9,9,6,4,7,5,5,8,"White, non-Hispanic",45-59,Some college,Republican,Female,56
139,139,21,1,4,5,7,7,6,5,5,7,5,77,10,10,10,8,4,0,2,8,5,10,77,10,10,4,7,7,10,7,5,5,6,7,8,6,7,9,77,10,6,6,8,9,6,6,8,8,7,8,7,2,10,10,10,10,8,7,10,4,10,10,10,10,0,0,2,10,8,6,5,10,10,2,6,7,8,7,0,1,10,10,10,7,8,7,8,8,10,5,10,10,7,10,9,10,7,"2+, non-Hispanic",18-29,BA or above,Independent,Female,25
140,140,19,1,3,5,6,1,8,6,10,7,1,9,0,5,6,1,9,7,5,1,0,0,5,7,3,9,0,0,0,0,9,3,3,1,8,1,7,1,9,8,1,4,6,8,8,0,7,3,7,2,6,2,8,3,8,7,9,7,3,5,4,2,6,7,9,4,7,1,1,1,9,6,3,7,1,0,0,0,3,5,4,6,8,4,8,2,9,9,4,7,7,9,9,1,7,2,8,"White, non-Hispanic",60+,BA or above,Republican,Male,72
141,141,16,1,6,5,5,5,5,7,6,6,5,5,8,7,5,7,5,3,5,5,7,5,5,5,7,7,8,7,7,5,5,5,5,5,8,5,7,5,5,7,7,5,5,5,5,5,7,5,6,3,7,8,8,5,8,8,8,8,8,1,9,9,7,9,7,1,6,8,8,8,8,8,8,0,10,8,7,7,5,5,5,7,10,8,8,5,10,10,8,5,6,8,6,6,9,7,7,"White, non-Hispanic",45-59,Some college,Democrat,Female,50
142,142,2,1,8,6,10,4,6,6,6,6,6,6,5,5,7,5,5,5,4,5,0,1,3,5,5,5,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,3,10,2,10,7,10,10,9,3,6,6,6,3,77,77,77,4,2,0,7,8,8,1,2,3,3,1,77,77,77,77,7,77,77,77,10,10,8,6,77,10,77,77,3,3,77,"White, non-Hispanic",60+,BA or above,Independent,Female,65
143,143,3,1,5,10,5,10,5,5,5,2,6,2,6,6,4,6,7,6,5,4,10,10,5,5,5,6,10,6,5,5,5,6,6,3,7,5,3,6,7,6,3,7,5,6,7,5,6,4,5,6,5,7,9,3,10,5,9,8,8,5,8,5,5,6,8,3,5,77,7,6,5,7,8,5,7,5,6,7,77,77,8,8,7,5,7,5,7,8,6,5,7,8,6,7,5,6,7,"White, non-Hispanic",30-44,HS graduate or equivalent,Independent,Male,32
144,144,23,1,7,5,5,6,7,5,8,7,6,6,7,7,7,3,5,1,4,3,4,6,1,7,5,3,6,5,4,3,3,2,7,7,9,7,8,7,10,9,5,5,7,8,5,6,8,6,6,6,8,3,7,7,9,7,10,5,8,1,10,7,6,4,5,1,3,2,6,7,7,7,8,5,3,6,4,0,0,1,6,6,10,7,7,5,10,8,9,2,6,10,8,9,7,7,4,"White, non-Hispanic",60+,BA or above,Independent,Male,68
145,145,23,1,5,8,5,4,6,4,5,6,6,7,3,5,5,5,8,5,4,4,2,1,6,3,4,5,0,0,2,2,7,4,5,5,9,6,5,4,5,5,2,6,5,3,4,4,2,5,6,3,7,9,5,5,6,5,1,7,5,6,4,1,2,1,8,3,10,1,3,2,3,0,4,6,0,0,0,0,8,6,3,3,10,1,6,0,3,3,4,3,5,4,7,5,1,6,4,"White, non-Hispanic",30-44,Some college,Republican,Female,33
146,146,5,1,9,10,10,5,10,3,10,10,5,10,7,7,8,5,8,5,5,0,5,2,9,9,3,5,5,0,0,0,0,0,0,7,8,0,5,0,7,10,5,6,8,8,3,9,5,4,3,5,8,4,8,3,8,8,10,10,5,8,7,9,7,5,8,3,6,4,10,9,2,5,9,0,0,0,0,0,0,5,2,9,10,5,5,5,10,8,10,3,8,8,5,10,6,6,2,"White, non-Hispanic",60+,BA or above,Independent,Male,64
147,147,14,1,4,4,8,8,8,10,77,7,10,2,10,10,10,10,3,0,2,4,77,10,8,10,8,77,10,10,8,77,0,0,8,8,10,10,8,77,10,10,77,3,6,77,5,7,9,8,0,10,6,2,9,8,9,9,77,2,10,0,10,10,9,9,2,0,0,7,8,2,7,9,10,0,6,9,6,0,1,2,8,9,9,7,7,8,10,9,10,2,9,8,6,10,9,7,2,"White, non-Hispanic",45-59,Some college,Democrat,Female,51
148,148,35,1,0,5,10,7,8,7,5,10,10,2,10,10,10,10,0,0,0,10,7,10,5,10,10,10,5,0,10,0,0,2,9,10,10,10,7,10,10,10,10,5,5,9,0,10,10,7,0,9,0,2,10,7,10,10,10,10,9,0,10,10,10,10,0,0,0,10,6,4,0,7,9,0,3,0,0,0,2,1,7,10,10,10,10,5,10,10,10,6,4,8,4,10,10,8,0,"White, non-Hispanic",45-59,Some college,Independent,Male,59
149,149,12,1,0,0,10,10,10,10,5,5,10,0,10,0,5,5,5,0,0,5,5,10,5,10,10,5,10,10,10,0,0,0,10,10,10,10,10,10,10,10,10,5,10,10,5,10,10,5,5,10,2,0,10,10,10,10,10,10,10,0,10,10,77,77,77,0,0,5,5,5,77,10,10,0,10,5,0,0,0,0,10,10,10,10,10,10,10,10,10,5,10,10,5,10,10,10,5,"Black, non-Hispanic",60+,Some college,Democrat,Female,64
150,150,16,1,5,5,77,8,5,5,8,5,5,0,77,7,77,5,5,0,77,8,8,10,77,10,0,10,10,10,10,10,10,5,10,10,10,5,8,9,5,5,8,77,5,10,8,77,5,77,0,10,77,0,10,10,10,7,0,5,8,0,10,10,10,5,0,0,77,5,6,8,77,10,8,9,10,10,0,0,0,0,9,9,10,10,10,10,10,10,8,8,5,77,3,7,7,1,5,"Black, non-Hispanic",18-29,HS graduate or equivalent,Independent,Female,22
151,151,25,1,3,0,7,10,6,7,0,10,10,1,10,10,10,10,0,0,0,8,10,10,0,10,10,0,10,10,10,7,0,0,10,10,10,10,10,7,10,10,10,0,10,10,7,10,8,10,2,10,6,0,10,10,6,8,9,10,10,0,10,10,10,7,0,0,0,5,10,10,10,10,9,0,10,5,7,5,0,0,9,9,10,10,10,8,10,8,10,0,10,10,7,9,6,8,1,"White, non-Hispanic",45-59,BA or above,Democrat,Male,54
152,152,19,1,6,8,6,4,2,2,10,0,2,9,0,0,2,0,6,4,5,1,5,0,7,2,6,6,0,0,2,0,8,8,3,4,9,2,6,3,7,6,5,5,5,6,6,0,2,5,6,4,6,4,6,5,6,7,10,4,6,6,2,2,7,0,6,6,6,4,3,1,4,3,6,2,0,1,1,0,6,6,6,6,10,6,6,4,10,7,6,3,7,8,7,2,3,5,4,"White, non-Hispanic",45-59,Some college,Republican,Male,51
153,153,32,1,98,9,9,77,7,4,10,10,2,10,0,77,0,0,5,8,6,77,0,8,77,8,8,8,2,0,77,0,10,77,77,77,10,0,0,0,10,5,5,6,6,5,4,2,2,7,6,6,8,1,7,5,8,10,5,8,5,3,5,2,5,1,8,6,7,3,5,3,3,2,2,8,5,2,2,2,7,2,3,7,10,7,6,2,7,6,5,5,8,6,5,4,6,8,7,"White, non-Hispanic",60+,Some college,Republican,Male,71
154,154,20,1,5,0,7,6,7,7,7,9,10,4,5,7,7,9,2,0,2,5,10,0,9,7,7,1,5,2,10,0,7,7,5,10,10,5,10,10,10,7,5,9,6,7,4,77,7,7,8,9,7,0,7,6,8,2,10,8,10,3,7,6,4,7,4,0,7,0,2,7,0,10,7,3,3,0,7,0,7,7,5,8,10,10,10,5,5,10,5,8,8,6,5,4,7,9,7,"White, non-Hispanic",30-44,Some college,Independent,Female,33
155,155,21,1,3,5,7,98,1,1,5,6,10,6,10,10,8,10,1,0,0,7,5,10,5,10,6,0,10,10,4,10,10,10,10,7,10,10,10,10,10,10,8,10,10,10,10,77,10,98,5,3,4,1,9,2,4,6,77,77,10,2,8,8,77,77,1,0,0,6,7,10,6,10,10,77,10,9,0,5,3,5,10,10,10,7,7,1,6,10,8,77,77,8,8,77,8,7,77,"2+, non-Hispanic",30-44,Some college,Independent,Female,37
156,156,14,1,98,7,10,10,5,5,10,10,7,5,8,7,5,9,8,3,0,0,7,10,10,10,10,0,10,5,1,0,0,0,8,7,10,10,10,7,10,10,10,5,10,10,7,7,10,5,3,5,2,5,10,9,5,9,6,10,10,2,10,10,8,10,5,5,2,3,10,10,7,10,10,0,5,5,0,0,2,0,10,10,10,10,10,9,10,9,10,3,10,9,8,10,10,5,1,"Black, non-Hispanic",45-59,BA or above,Democrat,Female,57
157,157,19,1,0,3,10,10,10,10,1,8,10,2,10,10,7,3,5,0,3,7,5,10,0,10,10,0,5,5,8,1,0,0,10,10,10,8,8,1,10,10,10,1,10,10,5,10,7,7,3,9,3,1,10,7,10,10,10,9,10,2,10,9,9,8,2,0,1,5,4,6,1,3,9,0,5,4,1,1,0,0,7,7,10,10,9,1,10,10,10,2,10,10,7,10,4,5,3,"White, non-Hispanic",60+,BA or above,Independent,Male,65
158,158,27,1,4,5,5,3,4,3,7,3,77,8,77,77,77,77,8,8,77,5,7,10,77,10,8,5,3,6,5,5,3,2,3,7,10,5,6,6,10,4,3,4,5,5,3,4,6,5,5,2,5,0,10,7,10,10,5,0,10,5,77,77,77,77,77,0,0,0,0,0,0,0,10,5,5,8,77,77,7,10,10,10,10,77,10,5,10,10,77,5,77,7,8,77,77,10,2,"White, non-Hispanic",45-59,Some college,Republican,Female,47
159,159,10,1,5,3,6,5,5,5,77,77,10,5,10,10,10,10,5,1,77,5,77,8,5,5,7,5,10,7,77,7,2,77,8,7,10,9,9,9,77,5,77,2,77,77,77,77,6,5,4,5,6,3,10,5,9,9,5,7,10,2,10,10,6,5,5,5,7,5,3,10,4,5,8,77,7,10,2,3,0,5,9,9,10,7,10,9,9,5,10,77,7,10,8,8,10,7,5,"Black, non-Hispanic",18-29,Some college,Democrat,Female,27
