,ID,GROUP,CONDITION,Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q2H,Q2I,Q3A,Q3B,Q3C,Q3D,Q3E,Q3F,Q3G,Q3H,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q4I,Q4J,Q5A,Q5B,Q5C,Q5D,Q5E,Q5F,Q5G,Q5H,Q5I,Q5J,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q6I,Q6J,T2Q1,T2Q2A,T2Q2B,T2Q2C,T2Q2D,T2Q2E,T2Q2F,T2Q2G,T2Q2H,T2Q2I,T2Q3A,T2Q3B,T2Q3C,T2Q3D,T2Q3E,T2Q3F,T2Q3G,T2Q3H,T2Q4A,T2Q4B,T2Q4C,T2Q4D,T2Q4E,T2Q4F,T2Q4G,T2Q4H,T2Q4I,T2Q4J,T2Q5A,T2Q5B,T2Q5C,T2Q5D,T2Q5E,T2Q5F,T2Q5G,T2Q5H,T2Q5I,T2Q5J,T2Q6A,T2Q6B,T2Q6C,T2Q6D,T2Q6E,T2Q6F,T2Q6G,T2Q6H,T2Q6I,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE
21,21,28,1,5,1,8,5,7,7,10,10,0,10,5,10,10,77,5,0,0,3,0,2,1,5,7,0,3,2,2,0,7,5,6,6,6,10,10,7,77,0,0,5,5,10,0,77,0,10,77,7,8,0,10,6,7,7,10,10,7,2,3,5,9,5,7,2,5,3,0,4,1,5,5,0,3,0,0,1,2,2,4,4,10,5,5,2,77,6,3,7,7,7,0,8,4,10,77,"Asian, non-Hispanic",30-44,BA or above,Independent,Male,42
22,22,31,1,3,2,8,9,7,7,7,7,9,3,10,10,10,10,2,1,1,8,4,10,1,10,8,2,8,5,7,3,1,2,7,8,10,10,7,5,9,9,7,2,5,10,7,9,9,8,4,8,4,1,9,9,10,10,9,7,10,1,10,10,10,8,2,0,0,7,7,6,2,9,9,1,7,6,5,4,0,2,8,8,10,10,10,7,10,7,9,2,5,10,8,10,10,6,3,"White, non-Hispanic",60+,BA or above,Independent,Male,71
23,23,4,1,0,2,10,10,10,10,10,10,10,2,10,10,8,8,5,0,2,10,10,10,2,10,10,0,10,4,5,0,0,0,10,10,10,10,5,10,10,10,10,2,10,10,10,10,10,10,10,10,2,2,10,10,10,10,10,10,10,0,10,10,10,10,0,0,0,10,10,10,0,10,10,0,10,5,0,0,0,0,10,10,10,10,10,5,10,10,10,0,10,10,10,10,10,10,7,"White, non-Hispanic",60+,BA or above,Democrat,Male,64
24,24,24,1,2,10,2,2,2,1,10,5,5,10,77,77,77,77,77,1,77,77,3,10,2,10,7,3,10,10,10,10,77,77,8,9,9,9,9,10,10,10,5,5,5,5,3,3,5,5,5,77,98,10,1,3,3,5,10,8,7,6,5,5,5,98,8,5,5,2,9,10,7,9,7,1,9,7,9,6,5,77,9,8,10,10,10,6,10,10,5,8,77,4,3,9,0,5,5,"White, non-Hispanic",60+,Some college,Independent,Female,65
25,25,25,1,4,3,8,8,8,6,77,10,10,2,10,10,7,8,3,0,0,5,77,10,0,10,8,0,5,10,10,0,0,0,10,10,10,10,10,77,10,8,77,3,7,10,77,10,10,10,2,9,6,0,10,10,5,7,10,77,10,0,10,10,10,9,0,0,0,7,8,10,0,6,9,0,10,10,3,0,0,0,8,8,10,10,10,10,10,10,10,2,10,10,77,10,10,9,0,"Black, non-Hispanic",18-29,HS graduate or equivalent,Democrat,Female,20
26,26,36,1,4,0,10,10,10,10,5,5,10,0,10,10,10,10,3,0,0,7,77,77,6,10,6,0,10,6,10,77,2,2,10,7,10,10,77,5,77,10,77,77,5,5,2,77,10,10,0,10,6,4,7,5,7,7,0,6,10,4,10,7,9,6,0,0,0,5,10,10,4,10,7,0,7,7,5,3,0,0,7,6,10,7,7,5,9,8,8,77,77,9,2,6,10,7,0,"White, non-Hispanic",18-29,BA or above,Democrat,Female,22
27,27,2,1,1,8,10,5,10,2,10,8,3,10,2,0,5,0,9,8,10,3,2,0,10,5,10,7,0,7,0,0,10,10,1,0,10,0,2,0,98,8,0,7,10,5,10,0,5,10,10,2,7,4,10,8,10,9,10,10,5,4,3,3,10,0,7,3,8,0,5,0,0,3,10,0,0,5,0,0,5,10,3,6,10,0,5,0,10,10,5,10,10,8,10,0,5,10,7,"White, non-Hispanic",60+,BA or above,Independent,Female,66
28,28,33,1,7,5,3,10,8,5,6,10,10,0,10,10,2,10,0,0,5,10,2,10,5,10,1,0,0,10,0,5,5,4,5,8,9,4,6,3,4,4,0,6,8,77,5,0,10,3,0,7,5,0,10,10,10,9,6,10,10,0,10,10,8,5,0,0,2,8,6,10,8,10,10,3,0,2,0,0,3,1,6,4,10,10,10,5,7,9,10,0,5,3,0,2,10,1,0,Hispanic,18-29,Some college,Democrat,Female,23
29,29,5,1,5,10,8,7,7,0,77,7,0,10,6,6,6,5,9,9,5,7,2,10,1,10,10,3,4,0,5,0,7,7,2,4,8,7,8,5,5,5,3,7,5,5,6,6,4,4,6,4,7,8,6,6,5,5,7,6,5,3,7,7,7,7,8,5,5,6,2,6,4,7,10,5,2,7,0,0,3,4,2,5,9,6,6,4,7,7,6,4,6,7,7,7,5,7,7,"White, non-Hispanic",60+,Some college,Republican,Female,60
30,30,24,1,2,5,8,2,5,6,8,1,8,9,9,8,7,5,5,0,3,4,10,0,10,8,5,2,8,0,0,0,77,0,0,0,8,1,1,1,8,2,10,5,7,7,6,2,2,8,8,5,9,2,8,8,5,8,10,8,8,2,10,2,8,0,2,0,2,2,0,0,8,2,8,0,2,2,0,0,3,2,2,5,10,2,8,2,10,2,8,2,8,10,6,8,0,8,6,"White, non-Hispanic",60+,BA or above,Independent,Male,66
31,31,14,1,6,5,5,6,3,5,5,10,7,5,10,10,10,10,3,0,2,10,5,10,5,10,6,5,6,5,3,0,5,5,5,6,10,7,10,7,7,10,5,0,5,6,5,5,10,7,5,10,4,5,10,6,8,5,10,10,9,0,10,10,10,10,4,0,4,10,0,10,0,10,7,0,77,0,0,0,77,5,5,4,10,77,7,4,10,10,10,0,7,10,8,10,10,77,0,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,23
32,32,38,1,7,0,5,0,10,10,10,9,3,10,0,0,0,0,8,7,0,0,0,0,10,0,5,10,0,0,0,0,10,0,0,0,5,2,1,1,8,3,5,5,5,5,5,5,8,5,5,3,3,5,4,3,8,6,7,6,3,4,2,2,3,1,9,7,8,2,1,1,9,1,5,7,2,3,2,2,9,2,4,4,3,4,4,3,5,5,5,4,6,6,6,3,3,4,5,"Other, non-Hispanic",45-59,BA or above,Independent,Male,59
33,33,36,1,2,5,9,10,5,5,10,10,10,2,10,10,5,10,2,0,0,5,0,10,0,9,5,0,8,10,10,5,0,0,8,7,10,10,10,10,10,10,5,1,1,9,0,10,10,9,0,8,3,2,10,10,5,5,10,10,10,0,10,8,8,10,0,0,0,1,10,10,0,10,7,0,5,8,0,7,5,0,8,8,10,10,10,10,10,10,3,0,0,5,1,10,10,7,0,"White, non-Hispanic",60+,Some college,Independent,Female,66
