,index_human,Question,Variable,Effect_Size_human,P_Value_human,Significant_human,Lower_CI_human,Upper_CI_human,Marginal_R2_human,Conditional_R2_human,Group_Variance_Prop_human,Demographic_Trust_human,index_llm,Effect_Size_llm,P_Value_llm,Significant_llm,Lower_CI_llm,Upper_CI_llm,Marginal_R2_llm,Conditional_R2_llm,Group_Variance_Prop_llm,Demographic_Trust_llm
60,60,Q2C,C(EDUCATION)[T.No_HS_diploma],2.0165658359040193,0.09341217383877501,False,-0.3393230256305162,4.372454697438554,0.03928615255474246,0.039286152736607044,1.8186458813739112e-10,Low/Moderate,60,0.6881346125071209,0.18553748700028982,False,-0.33061516144437453,1.7068843864586163,0.05057025884993851,0.08994056457223161,0.03937030572229309,Low/Moderate
61,61,Q2C,C(EDUCATION)[T.Some_college],0.02889193157247262,0.9301409446130717,False,-0.6170388846047953,0.6748227477497405,0.03928615255474246,0.039286152736607044,1.8186458813739112e-10,Low/Moderate,61,0.14546450848811715,0.31886222758585125,False,-0.14055632660015888,0.4314853435763932,0.05057025884993851,0.08994056457223161,0.03937030572229309,Low/Moderate
62,62,Q2C,C(PARTYBEFORE)[T.Independent],-0.006741095880104927,0.9841605055958038,False,-0.6722422504856767,0.6587600587254667,0.03928615255474246,0.039286152736607044,1.8186458813739112e-10,Low/Moderate,62,-0.19104539466266263,0.19117144649853346,False,-0.4775085043525969,0.09541771502727164,0.05057025884993851,0.08994056457223161,0.03937030572229309,Low/Moderate
63,63,Q2C,C(PARTYBEFORE)[T.Republican],0.029247823886186727,0.9395441317823998,False,-0.7265872742738304,0.7850829220462039,0.03928615255474246,0.039286152736607044,1.8186458813739112e-10,Low/Moderate,63,5.4281272360084414e-05,0.9997382254511621,False,-0.32421868477799376,0.3243272473227139,0.05057025884993851,0.08994056457223161,0.03937030572229309,Low/Moderate
64,64,Q2C,C(GENDER)[T.Male],0.3254909551331299,0.2591668752667198,False,-0.2398863702529757,0.8908682805192356,0.03928615255474246,0.039286152736607044,1.8186458813739112e-10,Low/Moderate,64,0.3424341410866228,0.006029507875058994,True,0.09803630383527506,0.5868319783379705,0.05057025884993851,0.08994056457223161,0.03937030572229309,Low/Moderate
65,65,Q2C,RACE_majority[T.True],0.8451884667499782,0.7014455396350701,False,-3.4758056472590293,5.166182580758986,0.03928615255474246,0.039286152736607044,1.8186458813739112e-10,Low/Moderate,65,-0.3213101685711742,0.7368975589339688,False,-2.195782514211007,1.5531621770686588,0.05057025884993851,0.08994056457223161,0.03937030572229309,Low/Moderate
66,66,Q2C,AGEBRACKET_majority[T.True],-0.05423779071525515,0.8743462020032284,False,-0.7264515113329979,0.6179759299024876,0.03928615255474246,0.039286152736607044,1.8186458813739112e-10,Low/Moderate,66,-0.056481685753618144,0.6725649191909372,False,-0.3184175552071882,0.20545418369995186,0.05057025884993851,0.08994056457223161,0.03937030572229309,Low/Moderate
67,67,Q2C,EDUCATION_majority[T.True],-0.19616006811712042,0.5762173922270453,False,-0.8840362402313121,0.49171610399707133,0.03928615255474246,0.039286152736607044,1.8186458813739112e-10,Low/Moderate,67,0.11171132712164596,0.46361047921887955,False,-0.18702765140152777,0.41045030564481966,0.05057025884993851,0.08994056457223161,0.03937030572229309,Low/Moderate
68,68,Q2C,PARTYBEFORE_majority[T.True],-0.20911426519136406,0.49965620892110774,False,-0.8162812862611419,0.39805275587841377,0.03928615255474246,0.039286152736607044,1.8186458813739112e-10,Low/Moderate,68,-0.15715346243197303,0.24659955345268036,False,-0.42299350551574205,0.10868658065179598,0.05057025884993851,0.08994056457223161,0.03937030572229309,Low/Moderate
69,69,Q2C,GENDER_majority[T.True],0.10839617518205844,0.7087759519872365,False,-0.4604185470301896,0.6772108973943065,0.03928615255474246,0.039286152736607044,1.8186458813739112e-10,Low/Moderate,69,0.12076388961210352,0.3340666140496561,False,-0.12427116135744026,0.3657989405816473,0.05057025884993851,0.08994056457223161,0.03937030572229309,Low/Moderate
